DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA_NAME,Rpt_Dist_No,Part_1_2,Crm_Cd,Crm_Cd_Desc,Mocodes,Vict_Age,Vict_Sex,Vict_Descent,Premis_Cd,Premis_Desc,Weapon_Used_Cd,Weapon_Desc,Status,Status_Desc,Crm_Cd_1,Crm_Cd_2,Crm_Cd_3,Crm_Cd_4,LOCATION,Cross_Street,LAT,LON
001307355,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,1350,13,Newton,1385,2,900,VIOLATION OF COURT ORDER,0913 1814 2000,48,M,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,900,,,,300 E  GAGE                         AV,,33.9825,-118.2695
011401303,09/13/2010 12:00:00 AM,09/12/2010 12:00:00 AM,0045,14,Pacific,1485,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,W,101,STREET,,,IC,Invest Cont,740,,,,SEPULVEDA                    BL,MANCHESTER                   AV,33.9599,-118.3962
070309629,08/09/2010 12:00:00 AM,08/09/2010 12:00:00 AM,1515,13,Newton,1324,2,946,OTHER MISCELLANEOUS CRIME,0344,0,M,H,103,ALLEY,,,IC,Invest Cont,946,,,,1300 E  21ST                         ST,,34.0224,-118.2524
090631215,01/05/2010 12:00:00 AM,01/05/2010 12:00:00 AM,0150,06,Hollywood,0646,2,900,VIOLATION OF COURT ORDER,1100 0400 1402,47,F,W,101,STREET,102,HAND GUN,IC,Invest Cont,900,998,,,CAHUENGA                     BL,HOLLYWOOD                    BL,34.1016,-118.3295
100100501,01/03/2010 12:00:00 AM,01/02/2010 12:00:00 AM,2100,01,Central,0176,1,122,"RAPE, ATTEMPTED",0400,47,F,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,,,,8TH                          ST,SAN PEDRO                    ST,34.0387,-118.2488
100100506,01/05/2010 12:00:00 AM,01/04/2010 12:00:00 AM,1650,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,23,M,B,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,,,,700 W  7TH                          ST,,34.048,-118.2577
100100508,01/08/2010 12:00:00 AM,01/07/2010 12:00:00 AM,2005,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0344,46,M,H,101,STREET,,,IC,Invest Cont,330,,,,PICO                         BL,GRAND                        AV,34.0389,-118.2643
100100509,01/09/2010 12:00:00 AM,01/08/2010 12:00:00 AM,2100,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,51,M,B,710,OTHER PREMISE,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,500    CROCKER                      ST,,34.0435,-118.2427
100100510,01/09/2010 12:00:00 AM,01/09/2010 12:00:00 AM,0230,01,Central,0171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416,30,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100511,01/09/2010 12:00:00 AM,01/06/2010 12:00:00 AM,2100,01,Central,0132,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,55,M,W,710,OTHER PREMISE,,,IC,Invest Cont,341,998,,,200 S  OLIVE                        ST,,34.0538,-118.2488
100100521,01/14/2010 12:00:00 AM,01/14/2010 12:00:00 AM,1445,01,Central,0118,2,624,BATTERY - SIMPLE ASSAULT,0400 0429 2000,38,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,900 N  BROADWAY,,34.064,-118.2375
100100522,01/15/2010 12:00:00 AM,01/14/2010 12:00:00 AM,2000,01,Central,0158,1,210,ROBBERY,0344,40,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,ALAMEDA                      ST,7TH                          ST,34.035,-118.2386
100100523,01/15/2010 12:00:00 AM,01/15/2010 12:00:00 AM,0245,01,Central,0182,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,24,F,W,102,SIDEWALK,,,AA,Adult Arrest,740,,,,1100 S  OLIVE                        ST,,34.0409,-118.2609
100100529,01/16/2010 12:00:00 AM,01/15/2010 12:00:00 AM,1745,01,Central,0152,2,755,BOMB SCARE,0404,29,F,B,738,LIBRARY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,755,,,,600 W  5TH                          ST,,34.0502,-118.254
100100531,01/16/2010 12:00:00 AM,01/15/2010 12:00:00 AM,2030,01,Central,0127,1,210,ROBBERY,0344 0416 1218,47,M,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1ST,LOS ANGELES,34.0515,-118.2424
100100535,01/17/2010 12:00:00 AM,01/16/2010 12:00:00 AM,1735,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,41,M,W,103,ALLEY,,,IC,Invest Cont,946,999,,,300 E  OLYMPIC                      BL,,34.0389,-118.255
100100552,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,1225,01,Central,0192,2,237,CHILD NEGLECT (SEE 300 W.I.C.),1251,11,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,237,,,,1300 S  FLOWER                       ST,,34.0401,-118.2668
100100553,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,1100,01,Central,0166,1,210,ROBBERY,0344 0416,50,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,600    SAN JULIAN                   ST,,34.0428,-118.2461
100100555,01/23/2010 12:00:00 AM,01/23/2010 12:00:00 AM,2000,01,Central,0132,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000,18,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236,,,,200 S  GRAND                        AV,,34.0545,-118.2499
100100561,01/26/2010 12:00:00 AM,01/26/2010 12:00:00 AM,1820,01,Central,0119,1,210,ROBBERY,0346 0400,37,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
100100562,01/28/2010 12:00:00 AM,01/28/2010 12:00:00 AM,2345,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,28,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,500 S  GRAND                        AV,,34.0502,-118.254
