id,username,lat,lon,Sentiment
0,StatsNation,33.747313500000004,-117.993728,Negative
1,nuclearcomics,33.60366636,-117.69299286,Positive
2,jeremyinbloom,32.810012,-117.104989,Negative
3,jeffdotseth,33.121483999999995,-117.2879235,Negative
4,DanielShaffer20,34.36,-119.15,Negative
5,test5geo1798,37.2691755,-119.3066075,Positive
6,raishiin,32.985290500000005,-117.0350275,Negative
7,tmj_cao_banking,33.5989126,-117.2800372,Negative
8,tmj_LAJ_it,32.7082449,-117.2492384,Positive
9,Daddys4all,32.810012,-117.104989,Positive
10,SH2F088,32.810012,-117.104989,Negative
11,StatsNation,33.747313500000004,-117.993728,Positive
12,JessClements21,33.810159,-117.824049,Negative
13,Kingdakha92,33.842863,-117.851089,Positive
14,RobyMyersNewsie,32.993884,-117.2571135,Positive
15,DocBearOMD,32.993884,-117.2571135,Negative
16,Simp4Sluts,33.595946,-117.1103725,Positive
17,andres412,32.810012,-117.104989,Positive
18,JosephVVallace,33.689732,-117.7823605,Positive
19,ASU_SuperFan,32.810012,-117.104989,Negative
20,CarlsbadCharlie,32.810012,-117.104989,Positive
21,Malc03Elliott,33.935822,-117.397616,Positive
22,Kingdakha92,33.842863,-117.851089,Negative
23,One2dream01,33.935822,-117.397616,Positive
24,OmariWarren,32.810012,-117.104989,Positive
25,JosephVVallace,33.689732,-117.7823605,Negative
26,BB_OnThe_Board,37.2691755,-119.3066075,Positive
27,MATSOLFOREVER,37.2691755,-119.3066075,Positive
28,testgeo2021,37.2691755,-119.3066075,Positive
29,crimdelacrimm,37.2691755,-119.3066075,Positive
30,mendez_b17,33.689732,-117.7823605,Positive
31,SurferDude_HB,33.692542,-117.9987325,Positive
32,StatsNation,33.747313500000004,-117.993728,Negative
33,nuclearcomics,33.60366636,-117.69299286,Negative
34,Ohhhnadia1,33.842863,-117.851089,Positive
35,DocBearOMD,32.993884,-117.2571135,Positive
36,jeffdotseth,33.121483999999995,-117.2879235,Positive
37,Tops4Tweets,33.501021,-117.1195165,Positive
38,JosephVVallace,33.689732,-117.7823605,Positive
39,ErikPatino6,33.747313500000004,-117.993728,Negative
40,mattlogical,37.2691755,-119.3066075,Positive
41,kspongart,33.6636085,-117.9056455,Negative
42,DGH_52_,33.842863,-117.851089,Positive
43,SithLordKakashi,33.5942685,-117.709877,Positive
44,tmj_LAJ_secure,32.8328112,-117.2712717,Positive
45,jeffdotseth,33.121483999999995,-117.2879235,Positive
46,buffym04,33.184920500000004,-117.2397795,Negative
47,oliviarden,33.8904245,-117.789005,Positive
48,quakesLA,35.909,-117.69,Positive
49,QuakesToday,35.909,-117.69,Positive
50,nuclearcomics,33.60366636,-117.69299286,Negative
